room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13157208,1311,71210528,Shared room,,Vancouver BC,,Mount Pleasant,6,5.0,3,1.0,,42.0,,2017-06-11 19:52:10.975608,49.261169,-123.10527,0101000020E6100000FFCF61BEBCC65EC051DD5CFC6DA14840
13829541,1311,10365557,Shared room,,Vancouver BC,,Downtown Eastside,1,0.0,2,1.0,,49.0,,2017-06-11 19:52:10.970397,49.279841,-123.110074,0101000020E6100000F488D1730BC75EC03B8A73D4D1A34840
18055787,1311,124270036,Shared room,,Vancouver BC,,West End,3,4.5,3,1.0,,54.0,,2017-06-11 19:52:10.966159,49.282411,-123.134707,0101000020E6100000B5E21B0A9FC85EC0ED832C0B26A44840
14972569,1311,94313437,Shared room,,Vancouver BC,,Riley Park,0,0.0,2,1.0,,58.0,,2017-06-11 19:52:10.961203,49.234168,-123.104825,0101000020E610000068B3EA73B5C65EC086E28E37F99D4840
12385218,1311,567714,Shared room,,Vancouver BC,,West End,40,5.0,2,1.0,,52.0,,2017-06-11 19:52:10.957349,49.283673,-123.137819,0101000020E61000001D71C806D2C85EC00DE198654FA44840
18650591,1311,129597722,Shared room,,Vancouver BC,,West End,0,0.0,1,1.0,,42.0,,2017-06-11 19:52:10.954553,49.284968,-123.133011,0101000020E610000087C0914083C85EC00934D8D479A44840
14554788,1311,14657114,Shared room,,Vancouver BC,,West End,26,4.5,2,1.0,,46.0,,2017-06-11 19:52:10.950995,49.289071,-123.132889,0101000020E6100000E23FDD4081C85EC06B9C4D4700A54840
7162553,1311,2450753,Shared room,,Vancouver BC,,Strathcona,8,4.5,2,1.0,,58.0,,2017-06-11 19:52:10.943992,49.267144,-123.096302,0101000020E61000008522DDCF29C65EC04CA94BC631A24840
15149759,1311,90149555,Shared room,,Vancouver BC,,West End,18,5.0,1,1.0,,42.0,,2017-06-11 19:52:10.939295,49.28638,-123.129123,0101000020E6100000558A1D8D43C85EC03F1D8F19A8A44840
16918576,1311,73238515,Shared room,,Vancouver BC,,Dunbar Southlands,0,0.0,1,1.0,,27.0,,2017-06-11 19:52:08.999152,49.234712,-123.193661,0101000020E6100000AF601BF164CC5EC048FDF50A0B9E4840
17108265,1311,8065052,Shared room,,Vancouver BC,,Grandview-Woodland,4,5.0,16,1.0,,23.0,,2017-06-11 19:52:08.995534,49.263027,-123.065703,0101000020E6100000F10F5B7A34C45EC0857B65DEAAA14840
15246613,1311,8065052,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,8,4.5,16,1.0,,23.0,,2017-06-11 19:52:08.991969,49.260833,-123.057135,0101000020E61000003F1D8F19A8C35EC0D95BCAF962A14840
14474676,1311,15247430,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,9,4.5,4,1.0,,23.0,,2017-06-11 19:52:08.989440,49.239095,-123.083529,0101000020E610000020D1048A58C55EC08DD13AAA9A9E4840
6786067,1311,15247430,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,11,5.0,3,1.0,,23.0,,2017-06-11 19:52:08.986145,49.240518,-123.084597,0101000020E6100000BE1589096AC55EC0B70C384BC99E4840
9593293,1311,15247430,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,9,5.0,3,1.0,,30.0,,2017-06-11 19:52:08.982580,49.241142,-123.085463,0101000020E61000002881CD3978C55EC095D8B5BDDD9E4840
12205372,1311,27873190,Shared room,,Vancouver BC,,Renfrew-Collingwood,0,0.0,1,1.0,,15.0,,2017-06-11 19:52:08.979230,49.234255,-123.050698,0101000020E61000003FFED2A23EC35EC055F65D11FC9D4840
15207664,1311,46810986,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,0,0.0,2,1.0,,27.0,,2017-06-11 19:52:08.972977,49.254164,-123.067699,0101000020E610000034BE2F2E55C45EC008E9297288A04840
18990551,1311,8065052,Shared room,,Vancouver BC,,Grandview-Woodland,0,0.0,16,1.0,,23.0,,2017-06-11 19:52:08.969014,49.26376,-123.067944,0101000020E6100000677DCA3159C45EC019FF3EE3C2A14840
10548175,1311,15247430,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,15,4.5,4,1.0,,23.0,,2017-06-11 19:52:08.960620,49.239214,-123.083317,0101000020E6100000DA8CD31055C55EC0675F79909E9E4840
16948745,1311,73238515,Shared room,,Vancouver BC,,Riley Park,1,0.0,1,1.0,,29.0,,2017-06-11 19:52:08.956352,49.254493,-123.091971,0101000020E61000008C4B55DAE2C55EC0CC07043A93A04840
14304960,1311,25176803,Shared room,,Vancouver BC,,West End,0,0.0,1,1.0,,20.0,,2017-06-11 19:52:08.953981,49.284583,-123.138476,0101000020E6100000FAD170CADCC85EC0B0FF3A376DA44840
19192174,1311,8065052,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,0,0.0,16,1.0,,23.0,,2017-06-11 19:52:08.950987,49.261629,-123.065955,0101000020E61000007E00529B38C45EC0B4571F0F7DA14840
4622701,1311,15247430,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,39,5.0,2,1.0,,30.0,,2017-06-11 19:52:08.948215,49.241211,-123.08388,0101000020E61000007632384A5EC55EC0BD378600E09E4840
15959286,1311,73238515,Shared room,,Vancouver BC,,Dunbar Southlands,2,0.0,1,1.0,,27.0,,2017-06-11 19:52:08.944000,49.234753,-123.19329,0101000020E6100000352905DD5ECC5EC0A6D1E4620C9E4840
10926145,1311,56637833,Shared room,,Vancouver BC,,West End,0,0.0,1,1.0,,16.0,,2017-06-11 19:52:07.146921,49.288616,-123.134872,0101000020E61000005A492BBEA1C85EC0198D7C5EF1A44840
10416313,1311,17642410,Shared room,,Vancouver BC,,Killarney,0,0.0,1,1.0,,31.0,,2017-06-11 19:52:07.144250,49.221358,-123.031563,0101000020E6100000E030D12005C25EC09F5A7D75559C4840
18600585,1311,55242691,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,0,0.0,16,1.0,,23.0,,2017-06-11 19:52:07.141725,49.262032,-123.066175,0101000020E6100000053411363CC45EC0B340BB438AA14840
11965020,1311,26077010,Shared room,,Vancouver BC,,Kitsilano,0,0.0,2,1.0,,31.0,,2017-06-11 19:52:07.135340,49.270752,-123.157351,0101000020E61000008CBFED0912CA5EC0CEA96400A8A24840
5935825,1311,15247430,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,26,4.5,2,1.0,,23.0,,2017-06-11 19:52:07.132058,49.240788,-123.083443,0101000020E610000021054F2157C55EC077A22424D29E4840
18271622,1311,97120592,Shared room,,Vancouver BC,,Hastings-Sunrise,0,0.0,1,1.0,,20.0,,2017-06-11 19:52:07.129504,49.272216,-123.035357,0101000020E6100000D2AB014A43C25EC056B950F9D7A24840
17108080,1311,8065052,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,8,5.0,16,1.0,,23.0,,2017-06-11 19:52:07.127009,49.261895,-123.062337,0101000020E61000002B155454FDC35EC033FE7DC685A14840
14233844,1311,74501495,Shared room,,Vancouver BC,,Riley Park,5,4.5,1,1.0,,31.0,,2017-06-11 19:52:07.124214,49.239346,-123.098079,0101000020E6100000295B24ED46C65EC0D636C5E3A29E4840
